3,33.4,donec ut
5,251.3,in
6,299.95,quisque id
2,92.4,nisl duis
7,120.97,faucibus orci
9,38.63,faucibus accumsan
8,178.54,curabitur
11,85.89,neque aenean
12,483.75,metus vitae
13,297.48,ultrices
1,79.25,quisque erat
15,245.72,eleifend
14,287.18,sit amet
4,59.62,leo
16,332.16,quis odio
17,68.23,curae
20,157.04,sit amet
19,199.82,nunc
18,437.03,duis
10,471.44,nibh
22,308.12,natoque penatibus
23,363.32,nulla
25,264.42,in faucibus
21,337.91,arcu adipiscing
24,402.22,sit amet
29,305.95,metus
27,313.91,est donec
30,262.68,venenatis non
31,447.02,eros elementum
33,489.75,ante
34,325.07,at
32,132.25,justo
28,401.73,at
26,123.17,posuere
37,489.77,cursus
39,54.54,in
40,159.43,posuere
41,69.77,est phasellus
36,464.7,a
43,298.57,lobortis
38,347.46,ut
42,71.21,cras non
45,25.94,tempor
46,94.25,amet
47,186.09,nam congue
35,219.51,interdum mauris
48,150.09,in
44,471.47,augue
49,174.52,ut
50,69.17,magna at
53,408.11,odio
54,318.74,tempus vel
55,294.43,aliquam quis
52,404.18,sollicitudin
56,179.78,luctus
51,81.03,pharetra
57,81.26,sagittis
58,219.38,amet
61,41.23,turpis
63,346.26,ac lobortis
62,281.74,cras
64,78.77,nisi
65,38.95,convallis duis
66,139.21,magna
68,132.29,accumsan felis
69,181.77,dapibus
70,475.67,sapien
67,453.62,nulla
72,487,lacus
59,322.6,diam
73,255.05,amet
60,400.67,cum
71,416.19,nunc nisl
77,356.5,maecenas
78,486.53,blandit
75,268.99,arcu
79,252.21,adipiscing
80,475.78,nisi volutpat
76,324.54,cursus
81,444.99,nec molestie
82,397.05,sit
85,371.38,in
86,125.53,morbi
87,363.96,nisl nunc
74,229.77,laoreet
89,375.74,et
88,349.39,ipsum ac
83,256.25,leo pellentesque
90,50.74,maecenas tincidunt
92,488.19,libero
91,377.46,tristique tortor
93,125.86,convallis
94,175.76,in tempus
95,267.88,pede
96,216.15,at turpis
84,46.62,erat
100,324.1,metus
98,338.93,feugiat
99,300.8,ipsum
97,193.97,vitae ipsum
